X,Y,OBJECTID,STN_NAME,STN_NO,LOCATION,AREA,REGION,LOC
103.7913503,1.276213523,155,PASIR PANJANG MRT STATION,CC26,BUONA VISTA,QUEENSTOWN_BUONA_VISTA,CENTRAL,C3
103.78181049999999,1.282542157,161,HAW PAR VILLA MRT STATION,CC25,BUONA VISTA,QUEENSTOWN_BUONA_VISTA,CENTRAL,C3
103.7846314,1.2934626329999999,104,KENT RIDGE MRT STATION,CC24,BUONA VISTA,QUEENSTOWN_BUONA_VISTA,CENTRAL,C3
103.7874575,1.299759879,108,ONE-NORTH MRT STATION,CC23,BUONA VISTA,QUEENSTOWN_BUONA_VISTA,CENTRAL,C3
103.79065340000001,1.3064916690000001,124,BUONA VISTA MRT STATION,CC22,BUONA VISTA,QUEENSTOWN_BUONA_VISTA,CENTRAL,C3
103.79619179999999,1.31183479,187,HOLLAND VILLAGE MRT STATION,CC21,ORCHARD,BUKIT_TIMAH,CENTRAL,C4
103.8075861,1.317510612,121,FARRER ROAD MRT STATION,CC20,ORCHARD,BUGIS_KALLANG_ROCHOR,CENTRAL,C7
103.8506674,1.296861687,93,BRAS BASAH MRT STATION,CC2,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.8149828,1.3221101929999999,185,BOTANIC GARDENS MRT STATION,CC19,ORCHARD,BUKIT_TIMAH,CENTRAL,C4
103.8306896,1.333728882,117,BUKIT BROWN MRT STATION,CC18,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.8395298,1.3376745079999999,127,CALDECOTT MRT STATION,CC17,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.83942309999999,1.348707263,160,MARYMOUNT MRT STATION,CC16,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.84915440000002,1.35130868,109,BISHAN MRT STATION,CC15,BISHAN,BISHAN_TOA_PAYOH,CENTRAL,C1
103.86415190000001,1.351612171,162,LORONG CHUAN MRT STATION,CC14,SERANGOON,HOUGANG_SERANGOON,NORTH_EAST,NE2
103.8723681,1.3505952559999999,145,SERANGOON MRT STATION,CC13,SERANGOON,HOUGANG_SERANGOON,NORTH_EAST,NE2
103.8797589,1.3428283380000001,153,BARTLEY MRT STATION,CC12,MACPHERSON,GEYLANG_MACPHERSON,CENTRAL,C8
103.8881949,1.335433322,166,TAI SENG MRT STATION,CC11,MACPHERSON,GEYLANG_MACPHERSON,CENTRAL,C8
103.890287,1.326345372,94,MACPHERSON MRT STATION,CC10,MACPHERSON,GEYLANG_MACPHERSON,CENTRAL,C8
103.84623909999999,1.2988428159999998,165,DHOBY GHAUT MRT STATION,CC1,RAFFLES,CENTRAL_BUSINESS_DISTRICT,CENTRAL,CBD
103.7726491,1.3800178969999999,80,BANGKIT LRT STATION,BP9,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7712702,1.3761428830000002,76,PENDING LRT STATION,BP8,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.766669,1.3777503340000001,63,PETIR LRT STATION,BP7,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7630136,1.3779098980000002,47,BUKIT PANJANG LRT STATION,BP6,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.75803409999999,1.378618844,90,PHOENIX LRT STATION,BP5,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7537122,1.376684679,64,TECK WHYE LRT STATION,BP4,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.74905550000001,1.378602766,57,KEAT HONG LRT STATION,BP3,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.74529179999999,1.3802982869999998,66,SOUTH VIEW LRT STATION,BP2,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.76013979999999,1.3803210080000001,85,TEN MILE JUNCTION LRT STATION,BP14,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7623672,1.3826922959999999,61,SENJA LRT STATION,BP13,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.76450329999999,1.386703025,62,JELAPANG LRT STATION,BP12,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7695984,1.387772131,91,SEGAR LRT STATION,BP11,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7708086,1.3845207959999999,48,FAJAR LRT STATION,BP10,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
103.7445537,1.38483636,65,CHOA CHU KANG LRT STATION,BP1,BUKIT PANJANG,CCK_BUKIT_BATOK_BUKIT_PANJANG,WEST,W1
